,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL
169,b,x,b,x,o,b,o,x,b,1,0,0,0,0,0,0,0,2,2
170,b,b,x,b,o,b,x,x,o,1,0,0,0,0,0,0,2,0,0
171,o,x,b,x,o,x,b,b,b,1,0,0,0,0,0,0,2,0,8
172,b,b,x,b,o,o,x,b,x,1,0,0,0,0,2,1,0,0,3
173,b,b,o,b,o,x,x,b,x,1,0,0,0,0,0,1,0,0,7
174,b,x,o,b,o,x,x,o,x,1,0,0,0,0,0,0,0,0,0
175,x,x,b,b,o,o,x,b,b,1,1,0,0,1,2,0,0,0,3
176,b,x,b,o,o,x,b,x,b,1,0,0,0,0,0,0,0,0,0
177,o,x,b,o,o,x,b,x,x,1,2,0,1,0,0,1,0,0,6
178,o,b,x,o,x,x,b,b,b,1,2,0,1,0,0,0,0,1,6
179,x,o,b,x,o,x,b,b,b,1,1,2,0,0,0,0,0,0,7
180,x,b,o,b,o,x,b,b,x,1,0,0,0,0,0,0,0,2,6
181,b,x,x,o,o,b,b,x,b,1,0,0,0,1,2,0,0,0,5
182,x,b,x,b,o,o,b,x,b,1,0,0,0,1,2,0,0,0,3
183,b,b,x,x,o,b,o,x,b,1,0,0,0,0,0,0,0,0,0
184,o,b,x,x,o,x,o,x,b,1,0,0,1,0,0,0,2,0,8
185,o,b,b,x,o,b,x,x,b,1,0,0,0,0,0,1,2,0,8
186,b,b,x,x,o,o,o,x,x,1,0,0,0,0,0,0,0,0,0
187,x,x,o,b,o,b,b,x,b,1,0,0,0,0,0,0,0,2,6
188,o,x,o,x,o,x,x,b,b,1,0,0,0,0,0,0,2,0,8
189,x,o,x,b,o,b,x,x,o,1,1,0,0,0,0,0,0,0,3
190,o,x,x,x,o,b,x,o,b,1,0,0,0,0,0,0,2,0,8
191,o,x,x,b,x,b,o,b,b,1,2,1,0,0,0,0,0,0,3
192,b,x,b,b,o,b,x,x,o,1,0,0,0,0,0,0,2,0,0
193,b,x,x,o,o,b,x,o,x,1,0,0,1,1,2,0,0,0,5
194,x,b,b,b,o,x,x,o,b,1,1,2,0,0,0,0,0,0,1
195,x,o,x,x,o,o,b,b,x,1,1,2,0,0,0,0,0,0,7
196,x,b,b,o,o,x,x,x,o,1,0,0,0,0,0,0,0,0,1
197,o,x,o,x,x,o,x,b,b,1,0,1,2,0,0,0,0,0,8
198,o,b,o,b,x,b,x,x,b,1,0,1,0,2,0,1,0,0,1
199,x,o,x,b,o,x,x,b,o,1,1,2,0,0,0,0,0,0,7
200,o,b,b,o,x,x,x,b,b,1,0,0,0,0,0,0,0,1,2
201,o,b,o,o,x,x,x,b,x,1,0,0,0,2,0,1,0,0,1
202,x,b,x,b,o,o,o,x,x,1,0,0,0,1,2,0,0,0,3
203,b,b,b,b,o,x,x,o,x,1,0,2,1,0,0,0,0,0,1
204,o,o,b,x,x,b,b,x,b,1,0,0,0,2,1,0,0,0,2
205,x,b,x,o,o,b,b,x,b,1,0,0,0,1,2,0,0,0,5
206,o,x,b,o,o,x,x,x,b,1,0,0,0,0,0,1,2,0,8
207,o,b,b,x,x,o,b,x,b,1,0,1,0,0,0,0,0,0,1
208,o,o,b,x,x,o,b,x,x,1,0,0,0,2,0,1,0,0,2
209,x,b,x,o,o,x,b,x,o,1,0,0,0,1,0,0,0,0,1
210,b,o,x,b,o,x,x,x,o,1,0,0,0,0,0,0,2,0,0
211,o,x,x,x,o,b,o,x,b,1,0,0,0,0,0,0,2,0,8
212,o,x,x,x,o,o,b,b,x,1,0,0,0,0,0,0,0,0,6
213,o,o,b,b,x,b,b,x,x,1,0,0,0,2,0,1,0,0,2
214,b,b,o,x,o,x,b,b,x,1,0,0,0,0,0,0,0,2,6
215,o,x,x,b,o,x,b,b,b,1,0,0,1,0,0,0,2,0,8
