,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL,RTM,RTR,RML,RMM,RMR,RBL,RBM,RBR
166,o,b,b,b,x,x,b,b,b,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
167,o,x,b,o,x,x,b,b,b,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,o,b,x,b,x,b,o,b,x,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,x,x,b,b,o,o,b,x,b,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
176,b,b,x,o,o,b,b,x,x,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0
178,b,b,b,b,o,x,b,x,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,b,b,b,x,o,x,b,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
182,x,o,x,b,o,x,b,b,b,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,x,x,b,b,o,b,b,b,b,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
185,x,x,o,b,o,x,b,b,b,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
187,b,b,b,b,o,x,b,b,x,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188,b,b,o,b,o,x,b,x,x,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
191,b,b,x,x,o,b,x,o,b,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,o,b,b,x,x,b,b,b,b,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
194,o,b,x,x,x,o,b,b,b,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
195,o,b,x,x,x,o,o,b,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,b,b,b,x,o,b,o,x,x,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
200,o,x,b,b,x,b,b,b,b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,o,x,b,b,x,x,b,o,b,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
202,o,x,x,o,x,x,b,o,b,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
205,b,b,x,x,o,b,b,o,x,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,b,b,b,b,o,x,x,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
210,x,b,b,b,o,b,x,b,b,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
211,x,x,b,o,o,b,x,b,b,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
216,b,b,b,b,o,b,x,x,b,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
220,x,x,o,b,o,b,b,b,x,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
229,x,b,b,x,o,b,o,x,b,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
236,b,x,x,b,o,x,b,b,o,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
245,b,o,b,b,o,x,x,b,x,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
248,x,x,b,x,o,b,o,b,b,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
254,x,b,x,x,o,b,b,o,b,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
263,b,x,b,x,o,b,b,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
264,o,x,b,x,o,b,b,b,x,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
265,o,x,o,x,o,x,b,b,x,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
269,o,x,o,x,o,b,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
272,x,x,o,b,o,b,x,b,b,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
273,x,x,o,o,o,x,x,b,b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
276,b,b,b,x,o,b,x,o,x,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
285,o,b,o,b,x,b,x,b,x,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
288,b,o,b,b,o,x,x,x,b,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
289,b,o,b,x,o,x,x,x,o,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
295,x,b,b,b,o,b,x,o,x,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,b,x,o,b,o,x,x,b,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
299,o,x,o,b,o,x,x,x,b,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
301,b,b,x,b,o,b,b,b,x,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
302,b,b,x,x,o,o,b,b,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
303,b,o,x,x,o,o,b,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
309,b,b,x,b,o,x,b,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
315,o,b,b,x,o,b,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
316,o,b,b,x,o,x,x,o,x,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
322,o,b,b,x,x,o,x,b,b,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
323,o,b,o,x,x,o,x,x,b,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1
329,o,x,x,b,x,b,b,o,b,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
330,o,x,x,b,x,x,o,o,b,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
340,x,o,b,b,o,x,x,x,o,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346,b,o,x,x,o,b,x,b,b,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
352,x,b,b,b,o,x,b,o,x,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
359,o,x,b,b,x,b,x,o,b,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
360,o,x,o,b,x,x,x,o,b,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
372,x,x,b,o,o,b,b,x,b,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
375,o,x,b,b,x,b,b,o,x,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
376,o,x,b,o,x,b,x,o,x,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
379,b,o,b,x,o,x,b,b,x,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
382,x,b,b,b,o,b,x,x,o,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
383,x,b,x,o,o,b,x,x,o,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
392,b,x,b,b,o,o,x,b,x,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
398,x,b,b,x,o,x,b,o,b,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
405,o,b,x,b,x,x,o,b,b,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
420,o,x,x,x,o,b,b,b,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
423,o,b,b,x,o,x,x,b,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
439,x,x,o,b,o,x,b,o,x,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
448,b,x,b,b,o,o,x,x,b,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
454,o,b,b,o,x,x,b,x,b,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
457,b,x,x,o,o,b,b,b,x,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0
460,b,o,x,b,o,b,x,x,b,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
461,b,o,x,x,o,b,x,x,o,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
464,o,x,b,x,o,b,b,x,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
467,x,o,x,b,o,b,b,b,x,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
470,o,b,o,b,x,x,b,b,x,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
476,b,b,x,o,o,x,b,x,b,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
477,b,b,x,o,o,x,x,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
487,b,x,b,x,o,b,o,x,b,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
494,b,b,x,b,o,b,x,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
497,o,x,b,x,o,x,b,b,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
509,b,b,x,b,o,o,x,b,x,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
512,b,b,o,b,o,x,x,b,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
513,b,x,o,b,o,x,x,o,x,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
516,x,x,b,b,o,o,x,b,b,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
531,b,x,b,o,o,x,b,x,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
532,o,x,b,o,o,x,b,x,x,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
535,o,b,x,o,x,x,b,b,b,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
556,x,o,b,x,o,x,b,b,b,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
581,x,b,o,b,o,x,b,b,x,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
584,b,x,x,o,o,b,b,x,b,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
590,x,b,x,b,o,o,b,x,b,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
622,b,b,x,x,o,b,o,x,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
623,o,b,x,x,o,x,o,x,b,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
632,o,b,b,x,o,b,x,x,b,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
636,b,b,x,x,o,o,o,x,x,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
639,x,x,o,b,o,b,b,x,b,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
677,o,x,o,x,o,x,x,b,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
684,x,o,x,b,o,b,x,x,o,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
691,o,x,x,x,o,b,x,o,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
694,o,x,x,b,x,b,o,b,b,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
711,b,x,b,b,o,b,x,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
715,b,x,x,o,o,b,x,o,x,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0
721,x,b,b,b,o,x,x,o,b,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
734,x,o,x,x,o,o,b,b,x,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
738,x,b,b,o,o,x,x,x,o,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
758,o,x,o,x,x,o,x,b,b,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
771,o,b,o,b,x,b,x,x,b,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
781,x,o,x,b,o,x,x,b,o,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
787,o,b,b,o,x,x,x,b,b,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
788,o,b,o,o,x,x,x,b,x,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
802,x,b,x,b,o,o,o,x,x,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
805,b,b,b,b,o,x,x,o,x,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
811,o,o,b,x,x,b,b,x,b,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
817,x,b,x,o,o,b,b,x,b,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
827,o,x,b,o,o,x,x,x,b,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
830,o,b,b,x,x,o,b,x,b,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
831,o,o,b,x,x,o,b,x,x,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
839,x,b,x,o,o,x,b,x,o,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
855,b,o,x,b,o,x,x,x,o,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
859,o,x,x,x,o,b,o,x,b,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
863,o,x,x,x,o,o,b,b,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
873,o,o,b,b,x,b,b,x,x,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
876,b,b,o,x,o,x,b,b,x,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
888,o,x,x,b,o,x,b,b,b,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
912,o,x,b,x,x,o,b,b,b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
913,o,x,x,x,x,o,b,o,b,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
922,o,b,o,b,x,x,x,b,b,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
932,b,o,x,x,o,o,x,b,x,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
953,x,b,b,b,o,o,x,x,b,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
983,x,b,x,b,o,o,b,b,x,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
1001,b,o,b,x,o,x,b,x,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1002,o,o,x,x,o,x,b,x,b,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
1006,x,o,x,x,o,b,o,b,x,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1029,b,x,x,o,o,x,b,x,o,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
1049,x,x,o,o,o,b,x,b,x,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
1068,x,o,b,b,o,x,b,b,x,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1077,b,x,b,b,o,b,o,x,x,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
1125,x,b,b,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
1144,o,x,b,o,x,x,b,o,x,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1159,b,b,x,b,o,o,b,x,x,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
1179,o,x,x,x,x,o,o,b,b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1208,b,o,b,x,o,b,b,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1209,b,o,x,x,o,b,o,x,x,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1225,b,o,x,x,o,b,b,b,x,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1231,x,x,o,x,o,b,b,b,b,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
1270,o,x,o,b,x,b,x,b,b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1295,o,b,b,x,x,o,b,b,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1296,o,o,b,x,x,o,x,b,x,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0
1300,x,b,x,x,o,o,o,x,b,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1332,x,x,b,o,o,b,x,x,o,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
1391,x,b,b,b,o,x,b,x,o,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1392,x,b,o,b,o,x,x,x,o,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
